cat_id,store_id,lead_bucket,is_event_week,rows,actual_sum,forecast_sum,stockout_proxy_rate,raw_ratio,shrinkage_weight,global_ratio,correction_factor
FOODS,WI_3,29-56,0,100,14767,11068.81803287353,0.11,1.3340779366150508,0.5555555555555556,1.1773084429661982,1.2644026061044498
FOODS,WI_2,29-56,0,98,11522,8054.156947527485,0.16326530612244897,1.4305121644509935,0.550561797752809,1.1773084429661982,1.3167127390645685
HOUSEHOLD,TX_2,99+,1,96,5270,4374.872687074217,0.03125,1.204559724868111,0.5454545454545454,1.1773084429661982,1.1921727785490597
HOUSEHOLD,WI_3,99+,1,96,3757,3119.4681625629714,0.03125,1.2043064707679623,0.5454545454545454,1.1773084429661982,1.1920346399489787
FOODS,WI_1,29-56,0,96,7536,6471.081766631878,0.08333333333333333,1.1645402934892637,0.5454545454545454,1.1773084429661982,1.1703439977969612
HOUSEHOLD,WI_2,99+,0,88,5482,4163.329226094649,0.0,1.3166586267104567,0.5238095238095238,1.1773084429661982,1.2503013963560479
HOUSEHOLD,WI_2,57-98,0,87,4888,4017.7385758098576,0.0,1.2165508922198969,0.5209580838323353,1.1773084429661982,1.1977521141342926
FOODS,TX_2,57-98,1,84,7015,6440.106812409161,0.11904761904761904,1.0892537888803946,0.5121951219512195,1.1773084429661982,1.1322072786783477
FOODS,WI_1,57-98,0,79,7077,6211.568869806034,0.06329113924050633,1.1393032654173194,0.4968553459119497,1.1773084429661982,1.158425367328705
FOODS,WI_2,57-98,0,77,10414,7133.279377620367,0.11688311688311688,1.459853118826686,0.49044585987261147,1.1773084429661982,1.3158813094710233
FOODS,WI_3,57-98,0,75,8971,7147.47099987944,0.04,1.2550935717793796,0.4838709677419355,1.1773084429661982,1.2149464085209634
FOODS,TX_3,57-98,1,73,6230,5347.759003711006,0.1232876712328767,1.1649431196426852,0.477124183006536,1.1773084429661982,1.1714086481778554
HOUSEHOLD,CA_4,99+,1,66,1093,1024.9023497914666,0.0,1.0663782963577142,0.4520547945205479,1.1773084429661982,1.1271619383349656
FOODS,TX_1,57-98,1,62,4027,3607.9556773007275,0.0967741935483871,1.1161123494353058,0.43661971830985913,1.1773084429661982,1.1505890218470762
HOUSEHOLD,TX_1,99+,1,62,3027,2426.0662302315827,0.0,1.2475967743620568,0.43661971830985913,1.1773084429661982,1.2079977144207281
HOUSEHOLD,TX_2,99+,0,61,3138,2513.5307399467283,0.01639344262295082,1.248344253714115,0.4326241134751773,1.1773084429661982,1.208040247616006
HOUSEHOLD,WI_1,99+,0,58,1739,1417.0083735116064,0.0,1.2270731488637139,0.42028985507246375,1.1773084429661982,1.198224043995589
HOUSEHOLD,CA_1,99+,1,56,2437,2197.3581608222426,0.0,1.109009461446503,0.4117647058823529,1.1773084429661982,1.1491853329286768
HOUSEHOLD,WI_3,99+,0,56,2189,1774.0952127753553,0.07142857142857142,1.2337366380341608,0.4117647058823529,1.1773084429661982,1.20054358211183
HOBBIES,CA_3,29-56,1,53,2032,1744.3288558006823,0.05660377358490566,1.164823461918497,0.39849624060150374,1.1773084429661982,1.172333224954708
HOBBIES,CA_2,29-56,1,53,1490,1209.6446980170283,0.03773584905660377,1.2315752114903562,0.39849624060150374,1.1773084429661982,1.1989335462126671
HOUSEHOLD,TX_3,99+,1,50,2531,2190.264859956275,0.0,1.1554970128305366,0.38461538461538464,1.1773084429661982,1.1689194313755593
HOBBIES,CA_2,29-56,0,50,1431,1166.760399659059,0.02,1.2262789527869662,0.38461538461538464,1.1773084429661982,1.1961432544357244
FOODS,CA_3,57-98,1,49,10045,8734.394554952818,0.0,1.1500339151027918,0.3798449612403101,1.1773084429661982,1.1669483509870748
HOBBIES,CA_4,29-56,1,47,1389,1352.5975935542165,0.02127659574468085,1.0268930785775112,0.3700787401574803,1.1773084429661982,1.1216429144129045
FOODS,CA_4,57-98,1,47,2339,2109.2236468379006,0.06382978723404255,1.1088872042100426,0.3700787401574803,1.1773084429661982,1.151987197127306
HOUSEHOLD,CA_3,99+,1,47,3332,2993.143333881628,0.0,1.113173161178986,0.3700787401574803,1.1773084429661982,1.1535733386827416
FOODS,TX_2,57-98,0,46,3906,3592.5655430263023,0.15217391304347827,1.087221021356338,0.36507936507936506,1.1773084429661982,1.1444193842832333
HOBBIES,CA_4,29-56,0,46,1678,1356.4717209011246,0.0,1.236858178441785,0.36507936507936506,1.1773084429661982,1.1990488225842695
HOBBIES,CA_3,29-56,0,45,1778,1538.7236616064024,0.044444444444444446,1.155402131148624,0.36,1.1773084429661982,1.1694221707118715
HOBBIES,CA_1,29-56,0,43,1688,1306.7846961537532,0.0,1.291496991031793,0.34959349593495936,1.1773084429661982,1.2172280166801865
FOODS,CA_2,57-98,1,43,5389,4937.776566055013,0.06976744186046512,1.0913634030432389,0.34959349593495936,1.1773084429661982,1.1472626160012611
HOUSEHOLD,CA_2,99+,1,43,1765,1367.3232678104607,0.0,1.290630687604901,0.34959349593495936,1.1773084429661982,1.216925162636639
FOODS,TX_3,57-98,0,41,3614,3050.180523756918,0.14634146341463414,1.1847873214492244,0.33884297520661155,1.1773084429661982,1.1798426084025955
HOBBIES,CA_1,29-56,1,36,1340,1171.0309342161388,0.027777777777777776,1.1441677526172709,0.3103448275862069,1.1773084429661982,1.1670234011337726
FOODS,TX_1,57-98,0,33,2170,1931.4632285715727,0.12121212121212122,1.1234366418473833,0.2920353982300885,1.1773084429661982,1.161575970073093
HOUSEHOLD,CA_4,99+,0,31,540,450.02212297443424,0.0,1.1994977018691966,0.27927927927927926,1.1773084429661982,1.1835054432003689
FOODS,CA_2,15-28,0,31,3274,2405.0294237217277,0.0967741935483871,1.3611637362830415,0.27927927927927926,1.1773084429661982,1.2286554167754067
HOUSEHOLD,TX_1,99+,0,29,1306,1134.2069235229958,0.0,1.1513319491955374,0.26605504587155965,1.1773084429661982,1.1703972657244628
FOODS,CA_1,15-28,0,28,3622,3572.9944819328634,0.0,1.0137116938246178,0.25925925925925924,1.1773084429661982,1.1348944709665292
HOUSEHOLD,TX_3,99+,0,26,1432,1169.3026561687598,0.0,1.2244695784005457,0.24528301886792453,1.1773084429661982,1.1888762686387742
HOBBIES,TX_3,29-56,0,25,1175,756.6129997697941,0.0,1.552243692171776,0.23809523809523808,1.1773084429661982,1.2665787403960975
HOUSEHOLD,CA_1,99+,0,24,1052,918.6326754504802,0.0,1.1450223856869701,0.23076923076923078,1.1773084429661982,1.1698578143632994
FOODS,CA_3,57-98,0,23,3933,3374.253698220974,0.0,1.1655420160189824,0.22330097087378642,1.1773084429661982,1.1746809884051694
HOBBIES,TX_1,29-56,0,23,536,364.91296696275197,0.0,1.4675620939518763,0.22330097087378642,1.1773084429661982,1.2421223650309612
HOUSEHOLD,CA_2,99+,0,22,749,598.0384887154901,0.0,1.2520063637450318,0.21568627450980393,1.1773084429661982,1.1934197592126132
HOBBIES,TX_2,29-56,0,22,509,450.74057103533056,0.0,1.128966563333345,0.21568627450980393,1.1773084429661982,1.1668817630453867
FOODS,CA_1,57-98,1,21,2371,1989.7943397249337,0.0,1.1914841993813068,0.2079207920792079,1.1773084429661982,1.1802558774683494
FOODS,CA_2,57-98,0,21,2632,2407.550349954994,0.14285714285714285,1.0931886892251184,0.2079207920792079,1.1773084429661982,1.159818197138845
FOODS,CA_4,57-98,0,21,815,899.1538471272074,0.19047619047619047,0.9065117064202082,0.2079207920792079,1.1773084429661982,1.1210041710110914
FOODS,CA_3,15-28,0,21,2246,2232.5099804908155,0.19047619047619047,1.0060398295181203,0.2079207920792079,1.1773084429661982,1.141698137199766
FOODS,CA_2,15-28,1,20,1970,1649.372283447783,0.15,1.1942759944334471,0.2,1.1773084429661982,1.180701953259648
HOUSEHOLD,CA_3,99+,0,20,1603,1204.5267436066351,0.0,1.3305387114028115,0.2,1.1773084429661982,1.207954496653521
FOODS,CA_4,15-28,0,20,821,770.6354862103226,0.15,1.065269825830625,0.2,1.1773084429661982,1.1549007195390837
HOBBIES,TX_3,29-56,1,20,833,627.4579200011365,0.0,1.3270578243305324,0.2,1.1773084429661982,1.2072583192390651
FOODS,CA_3,15-28,1,18,1531,1240.3264053983007,0.1111111111111111,1.2341637085440325,0.1836734693877551,1.1773084429661982,1.1877512468478413
FOODS,CA_1,15-28,1,18,2504,2158.6428373053427,0.0,1.1599140176000449,0.1836734693877551,1.1773084429661982,1.1741135485111904
HOBBIES,TX_1,29-56,1,16,482,260.97596820579804,0.0,1.8436805608847837,0.16666666666666666,1.1773084429661982,1.2883704626192958
HOBBIES,TX_2,29-56,1,16,385,315.6563817174707,0.0,1.2189869596387908,0.16666666666666666,1.1773084429661982,1.1842548624116302
FOODS,TX_2,15-28,0,14,2678,2110.4636752169667,0.0,1.2687881072473175,0.14893617021276595,1.1773084429661982,1.1909330738165775
FOODS,CA_4,15-28,1,12,480,494.4956527739985,0.08333333333333333,0.970745146414816,0.13043478260869565,1.1773084429661982,1.150365404285583
FOODS,TX_1,15-28,0,10,2495,2273.736165249544,0.0,1.097270109004568,0.1111111111111111,1.1773084429661982,1.1684152947482391
FOODS,CA_1,57-98,0,9,1041,786.0561605718572,0.1111111111111111,1.3239207723663664,0.10112359550561797,1.1773084429661982,1.1921344088605972
HOBBIES,WI_1,29-56,0,9,382,248.68076859479856,0.0,1.5339587512307056,0.10112359550561797,1.1773084429661982,1.213374204476092
HOBBIES,WI_2,29-56,0,8,172,175.4947905211956,0.0,0.9801989026935279,0.09090909090909091,1.1773084429661982,1.1593893938505009
FOODS,TX_3,15-28,0,7,1129,902.783883138095,0.0,1.250298905614961,0.08045977011494253,1.1773084429661982,1.183181238811501
HOBBIES,WI_3,29-56,0,5,109,78.16912170799066,0.0,1.3894305965111842,0.058823529411764705,1.1773084429661982,1.1897862167041386
FOODS,TX_2,15-28,1,4,1106,803.1048517514741,0.0,1.3766861343875365,0.047619047619047616,1.1773084429661982,1.1868026187481666
HOBBIES,WI_2,29-56,1,4,83,86.45275034939002,0.0,0.9605186762497963,0.047619047619047616,1.1773084429661982,1.1669851207416075
FOODS,TX_1,15-28,1,4,1540,1073.905193752551,0.0,1.4336148052464863,0.047619047619047616,1.1773084429661982,1.189513507836688
HOBBIES,WI_1,29-56,1,3,86,66.53271789348207,0.0,1.288264454826522,0.03614457831325301,1.1773084429661982,1.1813189012262097
HOBBIES,WI_1,99+,1,1,20,34.04454223465678,0.0,0.5992373893596579,0.012345679012345678,1.1773084429661982,1.1701717632920434
HOBBIES,WI_2,99+,1,1,24,18.81389506559066,0.0,1.261740809529958,0.012345679012345678,1.1773084429661982,1.178350817862047
HOBBIES,WI_3,29-56,1,1,11,11.667951358961536,0.0,0.9472723457775976,0.012345679012345678,1.1773084429661982,1.174468491149055
